english,hindi
The eyes of the owl.,उल्लू की आँखें
This is the fruit of dragonfruit.,यह ड्रैगनफ्रूट का फल है।
This is the taste of apricot.,यह खुबानी का स्वाद है।
This is a piece of pineapple.,यह एक पाइनएप्पल का टुकड़ा है।
The wings of the moth.,पतंगे के पंख
This is a glass of lemon juice.,यह एक गिलास नींबू का जूस है।
This is a jam of boysenberry.,यह बॉयसेनबेरी का जैम है।
This is a plum of red.,यह एक लाल रंग का प्लम है।
The tail of the squirrel.,गिलहरी की पूँछ
The speed of a cheetah is fast.,चीते की गति तेज होती है।
The story of the enchanted forest.,मंत्रमुग्ध जंगल की कहानी
This is of play tents.,यह खेलने के तंबूओं का है।
This is a persimmon of autumn.,यह पतझड़ का ख़ुबानी है।
This is the shell of a coconut.,यह नारियल का खोल है।
This is a piece of papaya.,यह पपीते का एक टुकड़ा है।
This is the leg of the calf.,यह बछड़े का पैर है।
This is a pea of green.,यह एक हरे रंग का मटर है।
The stripes of the tiger.,बाघ की धारियाँ
There are of seven dwarfs.,सात बौने हैं।
This is a leaf of the tree.,यह पेड़ का एक पत्ता है।
This is a bowl of blueberry.,यह ब्लूबेरी का एक कटोरा है।
This is a plate of shrimp.,यह झींगे की एक थाली है।
This is the tail of the cow.,यह गाय की पूँछ है।
The eyes of the hawk.,बाज़ की आँखें
The wings of a falcon.,बाज के पंख
This is the tail of a gorilla.,यह एक गोरिल्ला की पूँछ है।
The trunk of the elephant.,हाथी की सूंड
The story of the princess.,राजकुमारी की कहानी
This is the home of an earthworm.,यह एक केंचुए का घर है।
The roar of the lion.,शेर की दहाड़
This is the tail of the horse.,यह घोड़े की पूँछ है।
This is a jar of elderberry.,यह बड़ेबेरी का एक जार है।
This is a piece of watermelon.,यह तरबूज का एक टुकड़ा है।
This is a picture of a dolphin.,यह डॉल्फिन की तस्वीर है
That's the sound of a talking bird!,यह तो एक बोलने वाले पक्षी की आवाज है!
This is the peel of a banana.,यह केले का छिलका है।
This is of toy cash registers.,यह खिलौना कैश रजिस्टर का है।
The feathers of the blue jay are blue.,नीले जय के पंख नीले होते हैं।
This is a picture of a mirror.,यह एक दर्पण की तस्वीर है।”
This is of honeydew.,यह शहद की बूंदों से बना है।
The crown of the princess.,राजकुमारी का मुकुट
This is a harp of magic.,यह जादू का वीणा है।
The taste of magic potion is sweet.,जादुई औषधि का स्वाद मीठा होता है।”
This is the tail of a rabbit.,यह एक खरगोश की पूँछ है।
The tail of the mermaid.,मरमेड की पूँछ
She has hair of gold.,उसके बाल सोने के हैं।”
This is the magic flute of music.,यह संगीत की जादुई बांसुरी है।”
The fur of the bear is brown.,भालू का फर भूरा है।
The eyes of the raven.,कौवे की आँखें
The story of the knight.,शूरवीर की कहानी
The wings of the butterfly.,तितली के पंख
This is a piece of avocado.,यह एक एवोकाडो का टुकड़ा है।
This is the neck of the swan.,यह हंस की गर्दन है।
This is a school of fish.,यह मछलियों का झुंड है।
This is a kumquat of sunshine.,यह धूप का कुमक्वाट है
The shell of the turtle.,कछुए का कवच
The tail of the raccoon is bushy.,रैकून की पूँछ घनी होती है।
The side of the boat is red.,नाव का किनारा लाल है।
This is a sweet taste of honeydew.,यह शहद की मिठास है।
This is the skin of a kiwi.,यह कीवी की छिलका है।
The view of the castle tower is amazing.,किले के टावर का नज़ारा अद्भुत है।
The sound of the spinning wheel.,चलते हुए चरखे की आवाज
The tail of the fox is bushy.,लोमड़ी की पूँछ घनी होती है।
This is the paw of a jaguar.,यह एक जगुआर का पंजा है।
This is a kumquat of gold.,यह सोने का कुमक्वाट है।
This is a bowl of strawberry.,यह स्ट्रॉबेरी का एक कटोरा है।
This is a lychee of China.,यह चीन का लीची है।
This is a bowl of raisins.,यह किशमिश का एक कटोरा है।
That's the tail of the lizard!,ये छिपकली की पूँछ है!
The banks of the river.,नदी के किनारे
The flower of talking is pretty.,बातचीत का फूल सुंदर है।
This is the of zebra.,यह ज़ेबरा का है।
This is a piece of cantaloupe.,यह खरबूजे का एक टुकड़ा है।
The shell of the snail.,घोंघे का खोल
This is a seed of pomegranate.,यह अनार का बीज है
A flock of sheep.,भेड़ों का झुंड
The tail of the beaver.,बिबेर की पूँछ
She has of golden hair.,उसके सुनहरे बाल हैं।
This is of the fig.,यह अंजीर का है।
The ears of rabbit are long.,खरगोश के कान लंबे होते हैं।
The smell of the skunk is strong.,बदबूदार जानवर की गंध बहुत तेज होती है।
This is the juice of passion fruit.,यह पैशन फ्रूट का जूस है।
This is the bank of the river.,यह नदी का किनारा है।
This is the smell of durian.,यह ड्यूरियन की गंध है।
The story of the magic flute.,जादुई बांसुरी की कहानी
This is the wing of a penguin.,यह एक पेंगुइन का पंख है।
This is a pod of peas.,यह मटर की फली है।
The fur of the otter is soft.,ऊदबिलाव का फर मुलायम होता है।
This is a bunch of grapes.,ये एक अंगूर का गुच्छा है।
The tale of the brave knight.,बहादुर शूरवीर की कहानी
The howl of the wolf.,भेड़िये का हौल
This is the key of gold.,यह सोने की चाबी है।
This is a piece of apricot.,यह एक खुबानी का टुकड़ा है।
This is the skin of a banana.,यह केले का छिलका है।
This is a jar of raspberry jam.,यह एक रास्पबेरी जैम का जार है।
This is the harp of magic.,यह जादू की वीणा है।
This is of gingerbread house.,यह जिंजरब्रेड का घर है।
The tail of the monkey.,बंदर की पूँछ
This is the crown of gold.,यह सोने का मुकुट है।
The view of the castle tower is amazing!,किले के टावर का नज़ारा कमाल का है!
